,City,Lat,Lng,Max Temperature,Humidity,Cloudiness,Windspeed,Country,Date
0,Saskylakh,71.92,114.08,62.24,44,100,11.92,RU,1595313119
1,Mumford,5.26,-0.76,75.04,92,95,5.68,GH,1595313119
2,Mahebourg,-20.41,57.7,71.6,53,75,17.22,MU,1595313120
3,Harnosand,62.63,17.94,55.99,81,100,12.75,SE,1595313120
4,Kahului,20.89,-156.47,80.6,61,20,11.41,US,1595312984
5,Bhunya,-26.55,31.02,51.8,25,0,2.24,SZ,1595313120
6,Krasnoselkup,65.7,82.47,62.17,56,98,14.52,RU,1595313120
7,Kodinsk,58.69,99.18,76.96,29,12,2.71,RU,1595313120
8,Yumen,40.28,97.2,86.47,18,100,9.35,CN,1595313121
9,East London,-33.02,27.91,55.4,87,40,8.05,ZA,1595313121
10,Hermanus,-34.42,19.23,46.0,94,0,4.05,ZA,1595313121
11,Arraial Do Cabo,-22.97,-42.03,69.53,85,0,17.25,BR,1595313121
12,Vestmannaeyjar,63.44,-20.27,49.41,69,61,2.15,IS,1595313122
13,Maryville,35.76,-83.97,75.0,88,90,4.7,US,1595313122
14,Ushuaia,-54.8,-68.3,28.4,92,0,4.7,AR,1595312977
15,Albany,42.6,-73.97,72.0,97,0,4.92,US,1595313122
16,Kapaa,22.08,-159.32,78.8,74,20,18.34,US,1595313040
17,Ostrovnoy,68.05,39.51,70.9,44,0,8.3,RU,1595313123
18,Provideniya,64.38,-173.3,48.2,81,90,4.47,RU,1595313123
19,Barrow,71.29,-156.79,33.8,86,90,5.82,US,1595313123
20,Kaitangata,-46.28,169.85,50.0,67,60,8.01,NZ,1595313123
21,Baracoa,20.35,-74.5,80.46,83,100,9.71,CU,1595313124
22,Mataura,-46.19,168.86,45.7,89,100,5.03,NZ,1595313124
23,Mar Del Plata,-38.0,-57.56,52.0,87,90,13.87,AR,1595312926
24,Bethel,41.37,-73.41,71.01,93,1,4.7,US,1595313124
25,Hithadhoo,-0.6,73.08,84.22,76,100,9.55,MV,1595313072
26,Rikitea,-23.12,-134.97,66.92,72,52,21.05,PF,1595313124
27,Punta Arenas,-53.15,-70.92,26.01,92,0,3.0,CL,1595313125
28,Honiara,-9.43,159.95,87.8,62,40,18.34,SB,1595313125
29,Kathu,7.92,98.33,86.0,79,40,13.87,TH,1595313125
30,Busselton,-33.65,115.33,66.0,40,0,17.36,AU,1595313125
31,Mecca,21.43,39.83,97.25,31,91,8.61,SA,1595313125
32,Jamestown,42.1,-79.24,64.4,82,1,0.67,US,1595313126
33,Avera,33.19,-82.53,80.6,94,1,5.82,US,1595313126
34,Cabo San Lucas,22.89,-109.91,87.01,48,7,1.01,MX,1595312881
35,Bluff,-46.6,168.33,48.51,90,100,11.21,NZ,1595313126
36,Saint-Philippe,-21.36,55.77,73.4,56,75,19.46,RE,1595313126
37,Georgetown,5.41,100.34,89.6,74,40,8.05,MY,1595313126
38,Cam Ranh,11.92,109.16,82.4,94,40,5.82,VN,1595313058
39,Haag,52.08,4.3,61.0,77,0,2.24,NL,1595313127
40,Tasiilaq,65.61,-37.64,38.77,71,100,3.51,GL,1595313127
41,Nanortalik,60.14,-45.24,46.99,65,73,1.61,GL,1595312944
42,Cherskiy,68.75,161.3,77.99,26,0,4.25,RU,1595313127
43,Abu Samrah,35.3,37.18,93.42,21,0,16.51,SY,1595313127
44,Khatanga,71.97,102.5,63.28,44,9,5.86,RU,1595313127
45,Longyearbyen,78.22,15.64,48.2,76,75,5.82,SJ,1595313128
46,Bredasdorp,-34.53,20.04,51.8,93,0,8.05,ZA,1595313128
47,Ribeira Grande,38.52,-28.7,68.0,72,75,4.7,PT,1595313128
48,Brae,60.4,-1.35,53.6,81,20,10.29,GB,1595313128
49,Bengkulu,-3.8,102.27,84.43,72,100,7.36,ID,1595313129
50,Mackay,-21.15,149.2,66.2,68,100,10.29,AU,1595313068
51,Cape Town,-33.93,18.42,55.4,58,0,6.93,ZA,1595313036
52,Montorio Al Vomano,42.58,13.64,78.01,15,0,4.0,IT,1595313129
53,Pulaski,34.77,-92.3,77.0,83,40,5.01,US,1595313130
54,Maningrida,-12.07,134.27,82.51,49,100,7.11,AU,1595313130
55,Guaranesia,-21.3,-46.8,57.87,79,0,4.76,BR,1595313130
56,Trincomalee,8.57,81.23,85.89,68,95,14.7,LK,1595313130
57,New Norfolk,-42.78,147.06,53.01,77,61,4.0,AU,1595313130
58,Pemangkat,1.17,108.97,83.34,73,6,8.12,ID,1595313130
59,Mahibadhoo,3.78,72.97,84.04,75,100,15.19,MV,1595313131
60,Maldonado,-34.67,-54.92,62.6,93,40,3.71,UY,1595312846
61,Rabaul,-4.2,152.17,84.13,72,0,7.43,PG,1595313131
62,Coihaique,-45.58,-72.07,33.8,95,90,5.82,CL,1595313131
63,Pachino,36.72,15.09,75.99,73,0,1.99,IT,1595313131
64,Nikolskoye,59.7,30.79,72.0,68,100,6.71,RU,1595313132
65,Bonthe,7.53,-12.51,74.61,93,100,6.33,SL,1595313132
66,Port Alfred,-33.59,26.89,63.79,50,0,10.07,ZA,1595313132
67,Itabirito,-20.25,-43.8,55.53,87,0,1.97,BR,1595313132
68,Xai-Xai,-25.05,33.64,67.62,64,0,4.21,MZ,1595313132
69,Podporozhye,60.91,34.17,66.06,67,100,3.24,RU,1595313132
70,Lagoa,39.05,-27.98,67.78,71,0,3.04,PT,1595313132
71,Blackwater,-23.58,148.88,65.71,50,71,9.44,AU,1595313132
72,Puerto Ayora,-0.74,-90.35,68.0,90,100,1.99,EC,1595313133
73,Hammerfest,70.66,23.68,53.6,93,75,9.17,NO,1595313133
74,Ifakara,-8.13,36.68,74.52,48,89,2.15,TZ,1595313133
75,Hasaki,35.73,140.83,82.0,88,75,9.17,JP,1595312999
76,Kupang,-10.17,123.58,87.8,48,40,12.75,ID,1595313133
77,Maxixe,-23.86,35.35,64.4,88,75,5.79,MZ,1595313134
78,Phangnga,8.45,98.53,93.2,79,40,13.87,TH,1595313134
79,Oum Hadjer,13.3,19.7,79.12,71,21,5.17,TD,1595313134
80,Panaba,21.28,-88.27,74.91,91,0,5.23,MX,1595313134
81,Opuwo,-18.06,13.84,57.65,40,0,9.19,NA,1595313134
82,Muravlenko,63.79,74.52,65.01,54,95,14.03,RU,1595313135
83,Hobart,-42.88,147.33,55.4,50,40,13.87,AU,1595312985
84,Klaksvik,62.23,-6.59,50.0,87,0,1.12,FO,1595313135
85,Okhotsk,59.38,143.3,60.1,71,10,6.93,RU,1595313125
86,Montepuez,-13.13,39.0,71.58,44,25,10.0,MZ,1595313135
87,Codrington,-38.27,141.97,52.0,79,100,8.75,AU,1595313136
88,Mehamn,71.04,27.85,57.2,93,71,3.36,NO,1595313136
89,Shahe,39.27,113.55,79.3,44,14,11.41,CN,1595313136
90,Avarua,-21.21,-159.78,75.2,88,100,20.8,CK,1595313136
91,Korla,41.76,86.15,82.15,32,0,2.86,CN,1595313137
92,Ponta Do Sol,32.67,-17.1,69.8,68,40,11.41,PT,1595313137
93,Quatre Cocos,-20.21,57.76,71.6,53,75,17.22,MU,1595313137
94,Puerto Maldonado,-12.6,-69.18,71.37,75,1,0.94,PE,1595313137
95,Khuzhir,53.19,107.34,57.25,61,62,6.96,RU,1595313137
96,Chokurdakh,70.63,147.92,84.49,30,48,13.98,RU,1595313137
97,Yellowknife,62.46,-114.35,64.0,77,75,5.82,CA,1595313138
98,Syamzha,60.02,41.06,65.93,82,100,8.68,RU,1595313138
99,Fairview,40.81,-74.0,84.2,54,1,7.4,US,1595313138
100,Laguna,38.42,-121.42,66.2,72,1,8.05,US,1595312975
101,Thio,-21.62,166.22,69.8,64,90,8.05,NC,1595313138
102,Atuona,-9.8,-139.03,79.93,79,36,19.06,PF,1595313138
103,Arman,59.7,150.17,64.63,59,0,6.62,RU,1595313138
104,Sharlyk,52.92,54.75,76.53,48,100,3.27,RU,1595313139
105,Asau,46.43,26.4,66.2,82,1,1.12,RO,1595313139
106,Tuatapere,-46.13,167.68,46.15,88,100,17.56,NZ,1595313139
107,Hilo,19.73,-155.09,80.6,61,75,8.05,US,1595312934
108,Mujiayingzi,42.12,118.78,90.27,34,74,13.8,CN,1595313139
109,Mamou,10.5,-12.0,68.29,96,100,1.92,GN,1595313140
110,Ranot,7.78,100.32,85.48,70,100,7.05,TH,1595313140
111,Sao Joao Da Barra,-21.64,-41.05,69.31,90,0,9.95,BR,1595313140
112,Borba,-4.39,-59.59,71.33,72,99,1.01,BR,1595313140
113,Faanui,-16.48,-151.75,77.74,82,8,24.63,PF,1595313140
114,Raudeberg,61.99,5.14,53.6,71,40,11.41,NO,1595313141
115,Kruisfontein,-34.0,24.73,57.43,70,0,8.37,ZA,1595313141
116,Glamoc,44.05,16.85,67.41,64,0,4.14,BA,1595313141
117,Sorland,67.67,12.69,53.6,81,75,2.24,NO,1595313141
118,Salalah,17.02,54.09,82.4,88,90,4.7,OM,1595313141
119,Butaritari,3.07,172.79,82.69,73,100,10.94,KI,1595313141
120,Padang,-0.95,100.35,86.0,79,20,8.05,ID,1595313137
121,Galveston,29.37,-94.97,82.4,83,90,25.28,US,1595313142
122,Remedios,22.49,-79.55,73.4,94,75,6.93,CU,1595313142
123,Santarem,-2.44,-54.71,75.2,100,17,2.26,BR,1595313142
124,Broome,42.25,-75.83,66.2,72,1,3.36,US,1595313142
125,Ulladulla,-35.35,150.47,59.0,38,0,4.7,AU,1595313142
126,Narsaq,60.92,-46.05,46.4,70,86,3.36,GL,1595313142
127,Luanda,-8.84,13.23,69.8,88,75,3.36,AO,1595313116
128,Bathsheba,13.22,-59.52,80.6,74,40,18.34,BB,1595313143
129,Visnes,59.36,5.22,55.99,81,40,8.05,NO,1595313143
130,Tiksi,71.69,128.87,53.47,79,100,10.33,RU,1595313143
131,Osoyoos,49.03,-119.45,78.8,49,20,4.7,CA,1595313144
132,Castro,-24.79,-50.01,52.48,83,0,2.75,BR,1595313144
133,Chuy,-33.7,-53.46,64.74,88,100,3.94,UY,1595313144
134,Camalu,30.85,-116.07,59.0,62,0,3.0,MX,1595313144
135,Siocon,7.71,122.14,83.62,77,99,3.56,PH,1595313144
136,Qaanaaq,77.48,-69.36,46.85,63,87,4.18,GL,1595313144
137,Panguna,-6.32,155.48,73.18,97,5,2.01,PG,1595313145
138,Adrar,20.5,-10.07,90.1,30,43,6.13,MR,1595313145
139,Vaini,-21.2,-175.2,68.0,88,20,3.36,TO,1595313145
140,Tautira,-17.73,-149.15,77.0,73,40,6.93,PF,1595313146
141,Souillac,-20.52,57.52,71.6,53,75,17.22,MU,1595313146
142,Cidreira,-30.18,-50.21,63.82,84,72,3.53,BR,1595313146
143,Belyy Yar,53.6,91.39,82.4,42,60,4.47,RU,1595313146
144,Emerald,-23.53,148.17,64.4,34,3,11.41,AU,1595313146
145,Pangnirtung,66.15,-65.71,49.71,72,100,2.64,CA,1595313147
146,Upernavik,72.79,-56.15,46.94,58,92,4.7,GL,1595313147
147,Bambous Virieux,-20.34,57.76,71.6,53,75,17.22,MU,1595313147
148,Pirgos,35.12,25.72,82.4,54,20,19.46,GR,1595313147
149,Tecolutilla,18.28,-93.32,78.71,85,100,4.63,MX,1595313147
150,Dongsheng,39.82,109.98,82.13,22,0,20.69,CN,1595313147
151,San Vicente,-26.62,-54.13,59.67,82,49,3.49,AR,1595313147
152,Mgandu,-5.95,34.13,66.33,48,9,11.12,TZ,1595313148
153,Conakry,9.54,-13.68,77.47,87,100,12.75,GN,1595313148
154,Dakar,14.69,-17.44,73.4,94,20,11.41,SN,1595313148
